Id,date,Open,High,Low,close,Vol.,Change %
1,18-Jul-10,0,0.1,0.1,0.1,0.08K,0.00%
2,19-Jul-10,0.1,0.1,0.1,0.1,0.57K,0.00%
3,20-Jul-10,0.1,0.1,0.1,0.1,0.26K,0.00%
4,21-Jul-10,0.1,0.1,0.1,0.1,0.58K,0.00%
5,22-Jul-10,0.1,0.1,0.1,0.1,2.16K,0.00%
6,23-Jul-10,0.1,0.1,0.1,0.1,2.40K,0.00%
7,24-Jul-10,0.1,0.1,0.1,0.1,0.50K,0.00%
8,25-Jul-10,0.1,0.1,0.1,0.1,1.55K,0.00%
9,26-Jul-10,0.1,0.1,0.1,0.1,0.88K,0.00%
10,27-Jul-10,0.1,0.1,0.1,0.1,3.37K,0.00%
11,28-Jul-10,0.1,0.1,0.1,0.1,4.39K,0.00%
12,29-Jul-10,0.1,0.1,0.1,0.1,8.06K,0.00%
13,30-Jul-10,0.1,0.1,0.1,0.1,3.02K,0.00%
14,31-Jul-10,0.1,0.1,0.1,0.1,4.02K,0.00%
15,1-Aug-10,0.1,0.1,0.1,0.1,2.60K,0.00%
16,2-Aug-10,0.1,0.1,0.1,0.1,3.60K,0.00%
17,3-Aug-10,0.1,0.1,0.1,0.1,9.82K,0.00%
18,4-Aug-10,0.1,0.1,0.1,0.1,3.49K,0.00%
19,5-Aug-10,0.1,0.1,0.1,0.1,5.03K,0.00%
20,6-Aug-10,0.1,0.1,0.1,0.1,1.40K,0.00%
21,7-Aug-10,0.1,0.1,0.1,0.1,2.62K,0.00%
22,8-Aug-10,0.1,0.1,0.1,0.1,2.20K,0.00%
23,9-Aug-10,0.1,0.1,0.1,0.1,13.63K,0.00%
24,10-Aug-10,0.1,0.1,0.1,0.1,1.31K,0.00%
25,11-Aug-10,0.1,0.1,0.1,0.1,14.06K,0.00%
26,12-Aug-10,0.1,0.1,0.1,0.1,2.06K,0.00%
27,13-Aug-10,0.1,0.1,0.1,0.1,3.59K,0.00%
28,14-Aug-10,0.1,0.1,0.1,0.1,4.40K,0.00%
29,15-Aug-10,0.1,0.1,0.1,0.1,4.46K,0.00%
30,16-Aug-10,0.1,0.1,0.1,0.1,10.73K,0.00%
31,17-Aug-10,0.1,0.1,0.1,0.1,13.19K,0.00%
32,18-Aug-10,0.1,0.1,0.1,0.1,2.95K,0.00%
33,19-Aug-10,0.1,0.1,0.1,0.1,0.74K,0.00%
34,20-Aug-10,0.1,0.1,0.1,0.1,4.20K,0.00%
35,21-Aug-10,0.1,0.1,0.1,0.1,10.44K,0.00%
36,22-Aug-10,0.1,0.1,0.1,0.1,18.65K,0.00%
37,23-Aug-10,0.1,0.1,0.1,0.1,4.30K,0.00%
38,24-Aug-10,0.1,0.1,0.1,0.1,6.71K,0.00%
39,25-Aug-10,0.1,0.1,0.1,0.1,4.23K,0.00%
40,26-Aug-10,0.1,0.1,0.1,0.1,3.87K,0.00%
41,27-Aug-10,0.1,0.1,0.1,0.1,9.01K,0.00%
42,28-Aug-10,0.1,0.1,0.1,0.1,6.17K,0.00%
43,29-Aug-10,0.1,0.1,0.1,0.1,3.17K,0.00%
44,30-Aug-10,0.1,0.1,0,0.1,34.19K,0.00%
45,31-Aug-10,0.1,0.1,0.1,0.1,14.89K,0.00%
46,1-Sep-10,0.1,0.1,0.1,0.1,7.17K,0.00%
47,2-Sep-10,0.1,0.1,0.1,0.1,8.15K,0.00%
48,3-Sep-10,0.1,0.1,0.1,0.1,0.89K,0.00%
